
Title,Date
"After Life - Vocês vão ter de me engolir: Temporada 3: Episódio 2","17/01/2022"
"The House","17/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 3","16/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 2","16/01/2022"
"O Rei de Porcelana: Temporada 1: Episódio 1","16/01/2022"
"After Life - Vocês vão ter de me engolir: Temporada 3: Episódio 1","16/01/2022"
"Nosso Eterno Verão: Temporada 1: Eu sei o que você fez no verão passado","07/01/2022"
"Outlander: Temporada 5: Meu amor nunca","07/01/2022"
"Outlander: Temporada 5: Bolo de viagem","07/01/2022"
"Outlander: Temporada 5: A misericórdia me acompanha","07/01/2022"
"Outlander: Temporada 5: Monstros e heróis","07/01/2022"
"Outlander: Temporada 5: Últimas palavras famosas","06/01/2022"
"Outlander: Temporada 5: A balada de Roger Mac","06/01/2022"
"Outlander: Temporada 5: Melhor casar do que queimar","06/01/2022"
"Outlander: Temporada 5: Adoração perpétua","06/01/2022"
"Outlander: Temporada 5: A companhia que mantemos","06/01/2022"
"Outlander: Temporada 5: Livre arbítrio","06/01/2022"
"Outlander: Temporada 5: Entre dois fogos","06/01/2022"
"Outlander: Temporada 5: A cruz de fogo","06/01/2022"
"Outlander: Temporada 4: Homem de valor","06/01/2022"
"Outlander: Temporada 4: Providência","06/01/2022"
"Outlander: Temporada 4: Se não for por esperança","06/01/2022"
"Outlander: Temporada 4: O âmago do coração","05/01/2022"
"Outlander: Temporada 4: Pássaros e abelhas","05/01/2022"
"Outlander: Temporada 4: Wilmington","05/01/2022"
"Outlander: Temporada 4: Começando a difícil jornada","05/01/2022"
"Outlander: Temporada 4: Sangue do meu sangue","05/01/2022"
"Outlander: Temporada 4: Selvagens","05/01/2022"
"Outlander: Temporada 4: Terreno comum","05/01/2022"
"Outlander: Temporada 4: Uma esposa errada","05/01/2022"
"Outlander: Temporada 4: Não fazer mal algum","05/01/2022"
"Outlander: Temporada 4: Linda América","05/01/2022"
"Cobra Kai: Temporada 4: Garotas curtem luta","04/01/2022"
"Cobra Kai: Temporada 4: Ponto decisivo","04/01/2022"
"Cobra Kai: Temporada 4: Bicefalia","04/01/2022"
"Cobra Kai: Temporada 4: Para depois aprender a voar","04/01/2022"
"Cobra Kai: Temporada 4: Primeiro aprenda a ficar em pé","04/01/2022"
"Cobra Kai: Temporada 4: Vamos lá!","04/01/2022"
"Outlander: Temporada 3: No olho do furacão","04/01/2022"
"Outlander: Temporada 3: A bakra","04/01/2022"
"Outlander: Temporada 3: Território desconhecido","04/01/2022"
"Outlander: Temporada 3: Entre o céu e a terra","04/01/2022"
"Outlander: Temporada 3: Vida em alto mar","04/01/2022"
"Outlander: Temporada 3: A primeira esposa","04/01/2022"
"Outlander: Temporada 3: Creme de menta","04/01/2022"
"Outlander: Temporada 3: A. Malcolm","04/01/2022"
"Outlander: Temporada 3: Liberdade e uísque","04/01/2022"
"The Last Kingdom: Temporada 1: Episódio 1","04/01/2022"
"Outlander: Temporada 3: Sobre o que se foi","03/01/2022"
"Outlander: Temporada 3: Dívidas pagas","03/01/2022"
"Outlander: Temporada 3: Renda-se","03/01/2022"
"Outlander: Temporada 3: A Batalha de Culloden","03/01/2022"
"Outlander: Temporada 2: Libélula no âmbar","03/01/2022"
"Outlander: Temporada 2: Tudo ou nada","03/01/2022"
"Outlander: Temporada 2: Minha é a vingança","03/01/2022"
"Outlander: Temporada 2: Prestonpans","03/01/2022"
"Outlander: Temporada 2: Je Suis Prest","03/01/2022"
"Outlander: Temporada 2: A toca da raposa","03/01/2022"
"Outlander: Temporada 2: Faith","02/01/2022"
"Outlander: Temporada 2: Os planos mais bem arquitetados","02/01/2022"
"Outlander: Temporada 2: Ressurreição fora de hora","02/01/2022"
"Outlander: Temporada 2: La Dame Blanche","02/01/2022"
"Outlander: Temporada 2: Ocupações úteis e trapaças","02/01/2022"
"Outlander: Temporada 2: Acho que não estamos mais na Escócia","02/01/2022"
"Outlander: Temporada 2: Através de um espelho","02/01/2022"
"As Loucuras de Dick & Jane","01/01/2022"
"Outlander: Temporada 1: Salvar a alma de um homem","01/01/2022"
"Outlander: Temporada 1: Prisão de Wentworth","01/01/2022"
"Outlander: Temporada 1: A busca","01/01/2022"
"Outlander: Temporada 1: A guarda","01/01/2022"
"Outlander: Temporada 1: Lallybroch","01/01/2022"
"Outlander: Temporada 1: Marca do diabo","01/01/2022"
"Outlander: Temporada 1: Meu dedão está coçando","01/01/2022"
"Cobra Kai: Temporada 4: A ascensão","01/01/2022"
"Cobra Kai: Temporada 4: A queda","01/01/2022"
"Cobra Kai: Temporada 4: Hora de diversão","01/01/2022"
"Outlander: Temporada 1: A conta","31/12/2021"
"Outlander: Temporada 1: Os dois lados","31/12/2021"
"Outlander: Temporada 1: Casamento","31/12/2021"
"Passagem para o Futuro","31/12/2021"
"Outlander: Temporada 1: Comandante da tropa","30/12/2021"
"Outlander: Temporada 1: Aluguel","30/12/2021"
"Outlander: Temporada 1: Encontro","30/12/2021"
"Outlander: Temporada 1: Saída","30/12/2021"
"Outlander: Temporada 1: Castelo de Leoch","30/12/2021"
"Super Crooks: Temporada 1: Super Crooks","28/12/2021"
"Super Crooks: Temporada 1: O Bastardo","28/12/2021"
"Super Crooks: Temporada 1: Cassino","27/12/2021"
"Super Crooks: Temporada 1: Carmine","27/12/2021"
"Super Crooks: Temporada 1: Conde Orlok","27/12/2021"
"Super Crooks: Temporada 1: União da justiça","27/12/2021"
"Super Crooks: Temporada 1: Supermax","27/12/2021"
"Super Crooks: Temporada 1: Gladiador","27/12/2021"
"Super Crooks: Temporada 1: Calor","27/12/2021"
"Super Crooks: Temporada 1: Pretoriano","27/12/2021"
"Super Crooks: Temporada 1: Homem Montanha","27/12/2021"
"Super Crooks: Temporada 1: Kasey","27/12/2021"
"Super Crooks: Temporada 1: Electro Boy","26/12/2021"
"O Mar da Tranquilidade: Temporada 1: Três depósitos","26/12/2021"
"O Mar da Tranquilidade: Temporada 1: Estação de Pesquisas Lunares Balhae","26/12/2021"
"Não Olhe para Cima","24/12/2021"
"The Witcher: Temporada 2: Serviço Secreto Redaniano","18/12/2021"
"The Witcher: Temporada 2: Perdas","18/12/2021"
"The Witcher: Temporada 2: Kaer Morhen","17/12/2021"
"The Witcher: Temporada 2: Um grão de veracidade","17/12/2021"
"The Witcher: Temporada 1: Banquetes, bastardos e funerais","17/12/2021"
"Ozark: Temporada 2: Cartas na mesa","02/12/2021"
"Ozark: Temporada 2: Por conta própria","02/12/2021"
"Ozark: Temporada 2: É da natureza dos Langmores","02/12/2021"
"Ozark: Temporada 2: O sangue sagrado de Jesus","02/12/2021"
"Ozark: Temporada 2: Reparações","01/12/2021"
"Ozark: Temporada 1: O preço","01/12/2021"
"Ozark: Temporada 1: Café Amargo","01/12/2021"
"Ozark: Temporada 1: Caleidoscópio","01/12/2021"
"Ozark: Temporada 1: Casa de passarinho","01/12/2021"
"Ozark: Temporada 1: O livro de Ruth","01/12/2021"
"Ozark: Temporada 1: Dias decisivos","01/12/2021"
"Ozark: Temporada 1: Lição de lavagem","01/12/2021"
"Ozark: Temporada 1: Insônia","30/11/2021"
"Ozark: Temporada 1: Blue Cat","30/11/2021"
"Ozark: Temporada 1: Doce como mel","30/11/2021"
"Seinfeld: Temporada 7: O maestro","30/11/2021"
"Seinfeld: Temporada 7: O adiamento","29/11/2021"
"Seinfeld: Temporada 7: O noivado","28/11/2021"
"Seinfeld: Temporada 6: A stand-in","26/11/2021"
"Seinfeld: Temporada 6: O cara que pintava o rosto","26/11/2021"
"Seinfeld: Temporada 6: O Clube dos Diplomatas","26/11/2021"
"Seinfeld: Temporada 6: O Jerry de fusilli","24/11/2021"
"Seinfeld: Temporada 6: O esboço","24/11/2021"
"Rocketman","24/11/2021"
"Seinfeld: Temporada 6: O Jimmy","23/11/2021"
"Seinfeld: Temporada 6: O porteiro","23/11/2021"
"Seinfeld: Temporada 6: O cumprimento com beijinho","23/11/2021"
"Cowboy Bebop: Temporada 1: Valsa para Vênus","22/11/2021"
"Cowboy Bebop: Temporada 1: Supernova orquestral","22/11/2021"
"Cowboy Bebop: Temporada 1: Valsa em Calisto","21/11/2021"
"Alerta Vermelho","21/11/2021"
"Cowboy Bebop: Temporada 1: Go-go do pierrot","21/11/2021"
"Cowboy Bebop: Temporada 1: Condução de Galileu","21/11/2021"
"Cowboy Bebop: Temporada 1: Código binário de dois passos","21/11/2021"
"Cowboy Bebop: Temporada 1: O lado escuro do tango","21/11/2021"
"Seinfeld: Temporada 6: A acompanhante","20/11/2021"
"tick, tick...BOOM!","20/11/2021"
"Cowboy Bebop: Temporada 1: Soul de Calisto","20/11/2021"
"Cowboy Bebop: Temporada 1: Jazz do Cão Maior","20/11/2021"
"Profecia do Inferno: Temporada 1: Episódio 6","20/11/2021"
"Profecia do Inferno: Temporada 1: Episódio 5","20/11/2021"
"Profecia do Inferno: Temporada 1: Episódio 4","20/11/2021"
"Profecia do Inferno: Temporada 1: Episódio 3","20/11/2021"
"Profecia do Inferno: Temporada 1: Episódio 2","20/11/2021"
"Profecia do Inferno: Temporada 1: Episódio 1","20/11/2021"
"Cowboy Bebop: Temporada 1: Pop em Vênus","19/11/2021"
"Cowboy Bebop: Temporada 1: Gospel do cowboy","19/11/2021"
"Seinfeld: Temporada 6: Especial – 100º episódio","18/11/2021"
"Seinfeld: Temporada 6: O transgressor","18/11/2021"
"Seinfeld: Temporada 6: O rotulador","17/11/2021"
"Seinfeld: Temporada 6: A troca","16/11/2021"
"Seinfeld: Temporada 6: A corrida","16/11/2021"
"Seinfeld: Temporada 6: A secretária","16/11/2021"
"Seinfeld: Temporada 6: Os negócios familiares","15/11/2021"
"Seinfeld: Temporada 6: A sopa","15/11/2021"
"Amnésia","15/11/2021"
"O Quarto Secreto","15/11/2021"
"Seinfeld: Temporada 6: A ginasta","15/11/2021"
"Seinfeld: Temporada 6: O sofá","15/11/2021"
"Seinfeld: Temporada 6: A chinesa","15/11/2021"
"Seinfeld: Temporada 6: A campanha","15/11/2021"
"HOMUNCULUS","15/11/2021"
"Seinfeld: Temporada 6: A salada grande","13/11/2021"
"Seinfeld: Temporada 6: O acompanhante","13/11/2021"
"Seinfeld: Temporada 5: O oposto","13/11/2021"
"Seinfeld: Temporada 5: Hampton","12/11/2021"
"Seinfeld: Temporada 5: O incêndio","12/11/2021"
"Seinfeld: Temporada 5: Os casacos de chuva, parte I e II","12/11/2021"
"Seinfeld: Temporada 5: A esposa","12/11/2021"
"Departamento de Conspirações: Parte 1: O par perfeito","11/11/2021"
"Departamento de Conspirações: Parte 1: Sangue azul","11/11/2021"
"Departamento de Conspirações: Parte 1: Atirador clonado","11/11/2021"
"Seinfeld: Temporada 5: O substituto","11/11/2021"
"Seinfeld: Temporada 5: A torta","11/11/2021"
"Seinfeld: Temporada 5: O biólogo marinho","11/11/2021"
"Seinfeld: Temporada 5: O jantar","11/11/2021"
"Seinfeld: Temporada 5: Acabou o papel","11/11/2021"
"Seinfeld: Temporada 5: A conversão","11/11/2021"
"Seinfeld: Temporada 5: O índio da tabacaria","11/11/2021"
"Seinfeld: Temporada 5: A massagista","10/11/2021"
"Seinfeld: Temporada 5: O barbeiro","10/11/2021"
"Seinfeld: Temporada 5: O iogurte sem gordura","10/11/2021"
"Seinfeld: Temporada 5: A leitora labial","09/11/2021"
"Seinfeld: Temporada 5: A circuncisão","09/11/2021"
"Seinfeld: Temporada 5: O contador drogado","08/11/2021"
"Seinfeld: Temporada 5: Os óculos","08/11/2021"
"Seinfeld: Temporada 5: A camisa bufante","07/11/2021"
"Seinfeld: Temporada 5: O poder da manga","07/11/2021"
"Seinfeld: Temporada 4: O piloto, parte I e II","07/11/2021"
"Seinfeld: Temporada 4: A vaga para pessoas com deficiência","04/11/2021"
"Seinfeld: Temporada 4: O carro fedorento","04/11/2021"
"Seinfeld: Temporada 4: A bala de menta","04/11/2021"
"Seinfeld: Temporada 4: O implante","04/11/2021"
"Seinfeld: Temporada 4: O velho","04/11/2021"
"Seinfeld: Temporada 4: Saindo do armário","04/11/2021"
"Seinfeld: Temporada 4: Os sapatos","04/11/2021"
"Seinfeld: Temporada 4: O visto","03/11/2021"
"Seinfeld: Temporada 4: O filme","03/11/2021"
"Seinfeld: Temporada 4: A cutucada","03/11/2021"
"Seinfeld: Temporada 4: O aeroporto","03/11/2021"
"Seinfeld: Temporada 4: A aposta","03/11/2021"
"Seinfeld: Temporada 4: A virgem","02/11/2021"
"Seinfeld: Temporada 4: A ópera","02/11/2021"
"Seinfeld: Temporada 4: As cartas de Cheever","02/11/2021"
"Seinfeld: Temporada 4: O menino da bolha","02/11/2021"
"Seinfeld: Temporada 4: O relógio","02/11/2021"
"Seinfeld: Temporada 4: A carteira","02/11/2021"
"Seinfeld: Temporada 4: A multa","31/10/2021"
"Seinfeld: Temporada 4: A viagem – Parte II","31/10/2021"
"Seinfeld: Temporada 4: A viagem – Parte I","31/10/2021"
"Seinfeld: Temporada 3: As chaves","31/10/2021"
"Seinfeld: Temporada 3: A vaga","31/10/2021"
"Seinfeld: Temporada 3: A carta","31/10/2021"
"Seinfeld: Temporada 3: O bom samaritano","31/10/2021"
"Seinfeld: Temporada 3: A limusine","31/10/2021"
"Hypnotic","31/10/2021"
"Departamento de Conspirações: Parte 1: O presidente robô","31/10/2021"
"My Name: Temporada 1: Episódio 1","30/10/2021"
"Community: Temporada 4: Básico de história","30/10/2021"
"Cozinhando o Impossível: Temporada 1: Whatever Floats Your Boat","30/10/2021"
"Maid: Minissérie: Imitações baratas","30/10/2021"
"Gokushufudou: Tatsu Imortal: Temporada 1: Episódio 1","30/10/2021"
"Komi Can't Communicate: Temporada 1: É só que eu queria poder falar.","30/10/2021"
"Final Space: Temporada 1: Capítulo 1","30/10/2021"
"ONE PIECE: East Blue: Episódio 3","30/10/2021"
"Rick and Morty: Temporada 1: Parque das Bactérias","30/10/2021"
"Baki Hanma: Temporada 1: O idoso mais forte do mundo","30/10/2021"
"Lucifer: Temporada 2: Partes íntimas","30/10/2021"
"Naruto: Temporada 1: Enter: Naruto Uzumaki!","30/10/2021"
"JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency: Uma carta do passado","30/10/2021"
"Modern Family: Temporada 1: Piloto","30/10/2021"
"Locke & Key: Temporada 2: A grande estreia","30/10/2021"
"Brooklyn Nine-Nine: Temporada 1: Halloween","30/10/2021"
"Você: Temporada 3: Tentativa e erro","30/10/2021"
"Missa da Meia-Noite: Minissérie: Livro I: Gênesis","30/10/2021"
"Seinfeld: Temporada 3: O amigo, parte I e II","28/10/2021"
"Seinfeld: Temporada 3: O cupido","26/10/2021"
"Seinfeld: Temporada 3: O suicídio","26/10/2021"
"Seinfeld: Temporada 3: O dispenser de balas","26/10/2021"
"Seinfeld: Temporada 3: O metrô","25/10/2021"
"Cowboy Bebop: Temporada 1: Honky tonk women","23/10/2021"
"Cowboy Bebop: Temporada 1: Stray dog strut","23/10/2021"
"Cowboy Bebop: Temporada 1: Asteroid blues","23/10/2021"
"Seinfeld: Temporada 3: A mancha vermelha","22/10/2021"
"Seinfeld: Temporada 3: De um lado para o outro da rua","22/10/2021"
"Seinfeld: Temporada 3: Presos em Long Island","22/10/2021"
"Seinfeld: Temporada 3: A plástica no nariz","22/10/2021"
"Seinfeld: Temporada 3: A fita","22/10/2021"
"Seinfeld: Temporada 3: A cafeteria","22/10/2021"
"Seinfeld: Temporada 3: O estacionamento","19/10/2021"
"Seinfeld: Temporada 3: A biblioteca","19/10/2021"
"Seinfeld: Temporada 3: O cachorro","19/10/2021"
"Seinfeld: Temporada 3: A caneta","19/10/2021"
"Seinfeld: Temporada 3: A verdade","19/10/2021"
"Seinfeld: Temporada 3: A receita médica","19/10/2021"
"Seinfeld: Temporada 2: O garçom","18/10/2021"
"Seinfeld: Temporada 2: O restaurante chinês","18/10/2021"
"Seinfeld: Temporada 2: O chá de bebê","17/10/2021"
"Você: Temporada 3: Todos nós aqui somos loucos","16/10/2021"
"Você: Temporada 3: Maternidade","16/10/2021"
"Você: Temporada 3: Na floresta","16/10/2021"
"Você: Temporada 3: Unidos em Madre Linda","16/10/2021"
"Você: Temporada 3: Síndrome da mulher branca desaparecida","16/10/2021"
"Você: Temporada 3: Casei com uma assassina","16/10/2021"
"Você: Temporada 3: E eles viveram felizes para sempre","16/10/2021"
"Seinfeld: Temporada 2: O acordo","12/10/2021"
"Outra Vida: Temporada 1: Espaço sideral","12/10/2021"
"Oats Studios: Volume 1: Base","11/10/2021"
"Oats Studios: Volume 1: Rakka","11/10/2021"
"Seinfeld: Temporada 2: O ataque cardíaco","10/10/2021"
"Seinfeld: Temporada 2: A vingança","10/10/2021"
"Seinfeld: Temporada 2: A estátua","10/10/2021"
"Seinfeld: Temporada 2: O apartamento","10/10/2021"
"Seinfeld: Temporada 2: A secretária eletrônica","10/10/2021"
"Seinfeld: Temporada 2: A jaqueta","10/10/2021"
"Seinfeld: Temporada 2: O comentário sobre pôneis","10/10/2021"
"Batalha Bilionária: O Caso Google Earth: Minissérie: Episódio 1","10/10/2021"
"The Seven Deadly Sins: Ira Imperial dos Deuses: Amor voraz","10/10/2021"
"The Seven Deadly Sins: Ira Imperial dos Deuses: O distorcido pela escuridão","10/10/2021"
"Post Mortem: Ninguém Morre em Skarnes: Temporada 1: Post mortem","09/10/2021"
"Seinfeld: Temporada 2: A ex-namorada","04/10/2021"
"Seinfeld: Temporada 1: A dica de investimento","04/10/2021"
"Seinfeld: Temporada 1: Inimizade masculina","03/10/2021"
"Seinfeld: Temporada 1: O roubo","03/10/2021"
"Seinfeld: Temporada 1: De tocaia","03/10/2021"
"Seinfeld: Temporada 1: Seinfeld","02/10/2021"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Matéria na revista","01/10/2021"
"Superstore: Uma Loja de Inconveniências: Temporada 1: Piloto","01/10/2021"
"Outer Banks: Temporada 1: Piloto","01/10/2021"
"Missa da Meia-Noite: Minissérie: Livro II: Salmos","28/09/2021"
"Round 6: Temporada 1: Um dia de sorte","20/09/2021"
"Round 6: Temporada 1: O líder","20/09/2021"
"Round 6: Temporada 1: VIPs","20/09/2021"
"Round 6: Temporada 1: Gganbu","20/09/2021"
"Round 6: Temporada 1: Um mundo justo","20/09/2021"
"Round 6: Temporada 1: Fiquem juntos","19/09/2021"
"Round 6: Temporada 1: O homem do guarda-chuva","19/09/2021"
"Round 6: Temporada 1: Inferno","19/09/2021"
"Round 6: Temporada 1: Batatinha frita 1, 2, 3","19/09/2021"
"Sex Education: Temporada 3: Episódio 4","18/09/2021"
"Sex Education: Temporada 3: Episódio 3","18/09/2021"
"Kate","10/09/2021"
"Por Trás de Seus Olhos: Minissérie: Encontros ao acaso","10/09/2021"
"Fullmetal Alchemist: Brotherhood: Parte 1: Caminho de esperança","31/08/2021"
"Fullmetal Alchemist: Brotherhood: Parte 1: Chuva de tristeza","31/08/2021"
"Um Yakuza Genial: Tatsu Imortal: Temporada 1: Episódio 1","31/08/2021"
"Fullmetal Alchemist: Brotherhood: Parte 1: A angústia de um alquimista","30/08/2021"
"Fullmetal Alchemist: Brotherhood: Parte 1: Cidade da heresia","30/08/2021"
"Fullmetal Alchemist: Brotherhood: Parte 1: O primeiro dia","30/08/2021"
"Fullmetal Alchemist: Brotherhood: Parte 1: Alquimista de Aço","29/08/2021"
"Control Z: Temporada 2: A última vingança","29/08/2021"
"Control Z: Temporada 2: Control Z","29/08/2021"
"Control Z: Temporada 2: Um minuto de silêncio","29/08/2021"
"Control Z: Temporada 2: Novos prazeres","29/08/2021"
"Control Z: Temporada 2: Nada a esconder","29/08/2021"
"Control Z: Temporada 2: Necessidades","29/08/2021"
"Control Z: Temporada 2: A volta","29/08/2021"
"Control Z: Temporada 2: Não podem enterrar o passado","29/08/2021"
"Control Z: Temporada 1: Inimigo público","29/08/2021"
"Control Z: Temporada 1: Control Z","29/08/2021"
"Control Z: Temporada 1: Você conhece bem o Javier?","29/08/2021"
"Control Z: Temporada 1: Cara a cara","29/08/2021"
"Control Z: Temporada 1: Aula noturna","28/08/2021"
"Control Z: Temporada 1: Idiotas","28/08/2021"
"Control Z: Temporada 1: Vítimas","28/08/2021"
"Control Z: Temporada 1: Aniversariante","28/08/2021"
"Clickbait: Minissérie: A irmã","25/08/2021"
"Erased: Temporada 1: Diante dos meus olhos","21/08/2021"
"SHAMAN KING: Temporada 1: O garoto que dança com fantasmas","16/08/2021"
"A Nuvem","09/08/2021"
"Darwin’s Game: Episódio 1. Batalha de abertura (Primeiro jogo) Primeiro tempo","07/08/2021"
"Top Secret: OVNIS: Temporada 1: O que a Casa Branca esconde?","03/08/2021"
"Top Secret: OVNIS: Temporada 1: Projeto Livro Azul: desconhecido","03/08/2021"
"Sugar High","01/08/2021"
"Sugar Rush: Extra doce: Café da manhã, almoço e jantar","01/08/2021"
"Como vender drogas online (rápido): Temporada 2: Pense diferente","29/07/2021"
"Como vender drogas online (rápido): Temporada 1: Se você é o mais esperto na sala, está na sala errada","29/07/2021"
"Como vender drogas online (rápido): Temporada 1: É tudo ou nada","29/07/2021"
"Unbreakable Kimmy Schmidt: Temporada 1: Kimmy arruma emprego!","28/07/2021"
"Unbreakable Kimmy Schmidt: Temporada 1: Kimmy respira ar fresco!","26/07/2021"
"Unbreakable Kimmy Schmidt: Temporada 4: Kimmy é... uma garotinha na cidade grande","26/07/2021"
"Como Se Tornar um Tirano: Temporada 1: Acabe com os rivais","21/07/2021"
"Como Se Tornar um Tirano: Temporada 1: Tome o poder","16/07/2021"
"BEASTARS - O Lobo Bom: Temporada 1: A lua e a fera","15/07/2021"
"The Ranch: Parte 1: Dia da caça","10/07/2021"
"Naruto Shippuden: Temporada 1: O terceiro Kazekage","09/07/2021"
"Naruto Shippuden: Temporada 1: Pai e mãe","09/07/2021"
"Naruto Shippuden: Temporada 1: As habilidades secretas de Chiyo","08/07/2021"
"Naruto Shippuden: Temporada 1: O verdadeiro rosto de Sasori","08/07/2021"
"Naruto Shippuden: Temporada 1: Hiruko contra duas Kunoichi!","08/07/2021"
"Naruto Shippuden: Temporada 1: Armadilhas ativadas... Os inimigos da Equipe Guy!","07/07/2021"
"Naruto Shippuden: Temporada 1: Postura tática: operação entrada em gancho!","07/07/2021"
"Naruto Shippuden: Temporada 1: A morte do Gaara!","07/07/2021"
"Naruto Shippuden: Temporada 1: O segredo do Jinchurik!","07/07/2021"
"Naruto Shippuden: Temporada 1: A esfera secreta se chama...","06/07/2021"
"Naruto Shippuden: Temporada 1: O crescimento de Naruto","06/07/2021"
"Naruto Shippuden: Temporada 1: Um encontro com destino","06/07/2021"
"Naruto Shippuden: Temporada 1: A determinação da vovó aposentada","06/07/2021"
"Naruto Shippuden: Temporada 1: A aprendiz de médica ninja","06/07/2021"
"Naruto Shippuden: Temporada 1: Jutsu de selamento: nove dragões fantasmas!","06/07/2021"
"Naruto Shippuden: Temporada 1: As lágrimas do Jinchuriki","06/07/2021"
"Naruto Shippuden: Temporada 1: Equipe Kakashi se mobiliza","06/07/2021"
"Naruto Shippuden: Temporada 1: Corra, Kankuro","06/07/2021"
"Record of Ragnarok: Temporada 1: Golpe mortal","05/07/2021"
